project,timeing,tests,failed,error,skipped,mode
empire-db-surefireNotFound,22.85,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.95,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.95,11,0,0,0,baseTime
empire-db-surefireNotFound,23.04,0,0,0,0,ekstaziAEC
empire-db-sub-empire-db,19.75,102,0,0,6,baseTime
empire-db-sub-empire-db-codegen,19.75,11,0,0,0,baseTime
empire-db-surefireNotFound,23.67,0,0,0,0,ekstaziAEC
graphhopper-sub-core,13.35,679,0,0,0,baseTime
graphhopper-sub-tools,13.35,1,0,0,0,baseTime
graphhopper-sub-web,13.35,5,0,0,0,baseTime
graphhopper-sub-core,17.83,679,0,0,0,ekstaziAEC
graphhopper-sub-tools,17.83,1,0,0,0,ekstaziAEC
graphhopper-sub-web,17.83,5,0,0,0,ekstaziAEC
graphhopper-sub-core,13.77,679,0,0,0,baseTime
graphhopper-sub-tools,13.77,1,0,0,0,baseTime
graphhopper-sub-web,13.77,5,0,0,0,baseTime
graphhopper-surefireNotFound,6.63,0,0,0,0,ekstaziAEC
graphhopper-sub-core,20.08,679,0,0,0,baseTime
graphhopper-sub-tools,20.08,1,0,0,0,baseTime
graphhopper-sub-web,20.08,5,0,0,0,baseTime
graphhopper-surefireNotFound,6.44,0,0,0,0,ekstaziAEC
graphhopper-sub-core,15.6,679,0,0,0,baseTime
graphhopper-sub-tools,15.6,1,0,0,0,baseTime
graphhopper-sub-web,15.6,5,0,0,0,baseTime
graphhopper-sub-core,22.08,562,0,0,0,ekstaziAEC
graphhopper-sub-web,22.08,3,0,0,0,ekstaziAEC
graphhopper-sub-core,13.75,679,0,0,0,baseTime
graphhopper-sub-tools,13.75,1,0,0,0,baseTime
graphhopper-sub-web,13.75,5,0,0,0,baseTime
graphhopper-sub-core,11.85,337,0,0,0,ekstaziAEC
graphhopper-sub-web,11.85,2,0,0,0,ekstaziAEC
graphhopper-sub-core,12.95,676,3,0,0,baseTime
graphhopper-sub-core,17.38,559,3,0,0,ekstaziAEC
graphhopper-sub-core,13.21,676,0,0,0,baseTime
graphhopper-sub-tools,13.21,1,0,0,0,baseTime
graphhopper-sub-web,13.21,5,0,0,0,baseTime
graphhopper-sub-core,7.65,14,0,0,0,ekstaziAEC
graphhopper-sub-web,7.65,3,0,0,0,ekstaziAEC
graphhopper-sub-core,17.5,679,0,0,0,baseTime
graphhopper-sub-tools,17.5,1,0,0,0,baseTime
graphhopper-sub-web,17.5,5,0,0,0,baseTime
graphhopper-sub-core,14.26,460,0,0,0,ekstaziAEC
graphhopper-sub-core,20.61,679,0,0,0,baseTime
graphhopper-sub-tools,20.61,1,0,0,0,baseTime
graphhopper-sub-web,20.61,5,0,0,0,baseTime
graphhopper-sub-core,7.98,65,0,0,0,ekstaziAEC
graphhopper-sub-core,15.18,679,0,0,0,baseTime
graphhopper-sub-tools,15.18,1,0,0,0,baseTime
graphhopper-sub-web,15.18,5,0,0,0,baseTime
graphhopper-surefireNotFound,6.73,0,0,0,0,ekstaziAEC
graphhopper-sub-core,12.94,679,3,0,0,baseTime
graphhopper-sub-core,7.14,60,3,0,0,ekstaziAEC
graphhopper-sub-core,18.0,679,0,0,0,baseTime
